Player,Pos,Total Points,STD,ID
Patrick Mahomes II,QB,428.4,8.53,0
Josh Allen,QB,412.2,10.03,1
Jalen Hurts,QB,384.0,11.93,2
Joe Burrow,QB,369.0,9.35,3
Geno Smith,QB,314.9,6.97,4
Justin Fields,QB,307.0,12.32,5
Kirk Cousins,QB,305.6,8.28,6
Trevor Lawrence,QB,303.6,8.64,7
Daniel Jones,QB,294.0,9.06,8
Jared Goff,QB,290.3,8.92,9
Justin Herbert,QB,289.3,6.87,10
Tom Brady,QB,280.7,7.79,11
Josh Jacobs,RB,275.3,11.21,12
Christian McCaffrey,RB,271.4,7.98,13
Derrick Henry,RB,269.8,9.43,14
Austin Ekeler,RB,265.7,9.12,15
Nick Chubb,RB,254.4,7.69,16
Aaron Rodgers,QB,251.2,4.92,17
Lamar Jackson,QB,243.1,13.47,18
Justin Jefferson,WR,240.7,9.33,19
Tua Tagovailoa,QB,238.9,11.54,20
Russell Wilson,QB,235.8,8.48,21
Davante Adams,WR,235.5,10.25,22
Derek Carr,QB,233.1,8.05,23
Saquon Barkley,RB,227.0,7.63,24
Tyreek Hill,WR,222.2,7.68,25
Jamaal Williams,RB,213.9,8.12,26
Dak Prescott,QB,213.6,10.18,27
A.J. Brown,WR,211.6,8.2,28
Stefon Diggs,WR,211.2,8.09,29
Tony Pollard,RB,209.8,10.05,30
Kyler Murray,QB,207.5,11.13,31
Travis Kelce,TE,206.3,7.63,32
Marcus Mariota,QB,205.6,8.75,33
Dalvin Cook,RB,198.8,7.26,34
Miles Sanders,RB,196.7,9.01,35
Davis Mills,QB,196.5,6.94,36
CeeDee Lamb,WR,194.6,7.08,37
Aaron Jones,RB,189.6,7.75,38
New England Patriots,DST,186.0,7.34,39
Jaylen Waddle,WR,184.2,8.07,40
Andy Dalton,QB,183.2,8.01,41
Najee Harris,RB,182.5,5.19,42
Mac Jones,QB,181.1,7.43,43
Joe Mixon,RB,180.7,11.47,44
Rhamondre Stevenson,RB,180.1,6.92,45
Kenneth Walker III,RB,175.5,8.51,46
Jacoby Brissett,QB,174.6,8.67,47
Travis Etienne Jr.,RB,170.1,7.4,48
Dallas Cowboys,DST,170.0,6.65,49
Amari Cooper,WR,169.0,7.29,50
Ezekiel Elliott,RB,168.8,6.23,51
Jimmy Garoppolo,QB,168.8,8.92,52
Matt Ryan,QB,168.3,8.54,53
Ryan Tannehill,QB,167.2,8.28,54
Justin Tucker,K,164.0,3.88,55
